TradeNum,Date,ExitDate,Type,LevelType,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,StandardLots,RiskUSD,PnLUSD,RMultiple,Result,ExitReason,BELocked,RunningBalance
16,2026-03-10 05:00,2026-03-10 09:00,SHORT,RESISTANCE BOUNCE,1.16524,1.16774,1.16511,1.15899,1.16511,"8.26 Lots (825561 units)",2063.9,107.32,0.05,WIN,"TRAILING SL HIT",YES,20746.35
17,2026-03-12 13:00,2026-03-13 05:00,LONG,SUPPORT BOUNCE,1.15097,1.14847,1.14847,1.15722,1.14847,"8.30 Lots (829854 units)",2074.63,-2074.63,-1,LOSS,"INITIAL SL HIT",NO,18671.72
18,2026-03-16 05:00,2026-03-16 09:00,LONG,SUPPORT BOUNCE,1.14135,1.13885,1.14148,1.1476,1.1476,"7.47 Lots (746869 units)",1867.17,4667.93,2.5,WIN,"HARD TP HIT",YES,23339.65
19,2026-03-17 09:00,2026-03-18 05:00,SHORT,RESISTANCE BOUNCE,1.15225,1.15475,1.15475,1.146,1.15475,"9.34 Lots (933586 units)",2333.96,-2333.96,-1,LOSS,"INITIAL SL HIT",NO,21005.69
20,2026-03-18 17:00,2026-03-19 05:00,LONG,SUPPORT BOUNCE,1.14685,1.14435,1.14435,1.1531,1.14435,"8.40 Lots (840228 units)",2100.57,-2100.57,-1,LOSS,"INITIAL SL HIT",NO,18905.12
21,2026-03-19 17:00,2026-03-19 21:00,SHORT,RESISTANCE BOUNCE,1.15529,1.15779,1.15779,1.14904,1.15779,"7.56 Lots (756205 units)",1890.51,-1890.51,-1,LOSS,"INITIAL SL HIT",NO,17014.61
22,2026-03-23 05:00,2026-03-23 09:00,LONG,SUPPORT BOUNCE,1.15271,1.15021,1.15284,1.15896,1.15284,"6.81 Lots (680584 units)",1701.46,88.48,0.05,WIN,"TRAILING SL HIT",YES,17103.09
23,2026-03-23 13:00,2026-03-23 17:00,SHORT,RESISTANCE BOUNCE,1.16139,1.16389,1.16126,1.15514,1.16126,"6.84 Lots (684124 units)",1710.31,88.94,0.05,WIN,"TRAILING SL HIT",YES,17192.03
24,2026-03-25 13:00,2026-03-26 09:00,LONG,SUPPORT BOUNCE,1.15595,1.15345,1.15345,1.1622,1.15345,"6.88 Lots (687681 units)",1719.2,-1719.2,-1,LOSS,"INITIAL SL HIT",NO,15472.83
25,2026-03-29 21:00,2026-03-30 09:00,LONG,SUPPORT BOUNCE,1.14871,1.14621,1.14884,1.15496,1.14884,"6.19 Lots (618913 units)",1547.28,80.46,0.05,WIN,"TRAILING SL HIT",YES,15553.29
26,2026-03-30 13:00,2026-03-31 09:00,LONG,SUPPORT BOUNCE,1.14455,1.14205,1.14468,1.1508,1.1508,"6.22 Lots (622132 units)",1555.33,3888.32,2.5,WIN,"HARD TP HIT",YES,19441.61
27,2026-03-31 13:00,2026-03-31 21:00,SHORT,RESISTANCE BOUNCE,1.15455,1.15705,1.15705,1.1483,1.15705,"7.78 Lots (777664 units)",1944.16,-1944.16,-1,LOSS,"INITIAL SL HIT",NO,17497.45
28,2026-04-01 13:00,2026-04-02 01:00,SHORT,RESISTANCE BOUNCE,1.16282,1.16532,1.1627,1.15657,1.15657,"7.00 Lots (699898 units)",1749.74,4374.36,2.5,WIN,"HARD TP HIT",YES,21871.81
29,2026-04-03 17:00,2026-04-07 05:00,LONG,SUPPORT BOUNCE,1.15117,1.14867,1.15129,1.15742,1.15742,"8.75 Lots (874872 units)",2187.18,5467.95,2.5,WIN,"HARD TP HIT",YES,27339.76
30,2026-04-07 13:00,2026-04-07 17:00,SHORT,RESISTANCE BOUNCE,1.15691,1.15941,1.15941,1.15066,1.15941,"10.94 Lots (1093590 units)",2733.98,-2733.98,-1,LOSS,"INITIAL SL HIT",NO,24605.78
31,2026-04-07 21:00,2026-04-08 01:00,SHORT,RESISTANCE BOUNCE,1.16374,1.16624,1.16624,1.15749,1.16624,"9.84 Lots (984231 units)",2460.58,-2460.58,-1,LOSS,"INITIAL SL HIT",NO,22145.2
32,2026-04-09 17:00,2026-04-10 09:00,SHORT,RESISTANCE BOUNCE,1.17193,1.17443,1.1718,1.16568,1.1718,"8.86 Lots (885808 units)",2214.52,115.16,0.05,WIN,"TRAILING SL HIT",YES,22260.36
33,2026-04-10 13:00,2026-04-13 13:00,SHORT,RESISTANCE BOUNCE,1.17209,1.17459,1.17196,1.16584,1.17196,"8.90 Lots (890414 units)",2226.04,115.75,0.05,WIN,"TRAILING SL HIT",YES,22376.11
34,2026-04-13 17:00,2026-04-13 21:00,SHORT,RESISTANCE BOUNCE,1.17371,1.17621,1.17621,1.16746,1.17621,"8.95 Lots (895044 units)",2237.61,-2237.61,-1,LOSS,"INITIAL SL HIT",NO,20138.5
35,2026-04-15 13:00,2026-04-16 05:00,SHORT,RESISTANCE BOUNCE,1.18087,1.18337,1.18074,1.17462,1.18074,"8.06 Lots (805540 units)",2013.85,104.72,0.05,WIN,"TRAILING SL HIT",YES,20243.22
36,2026-04-16 09:00,2026-04-17 09:00,LONG,SUPPORT BOUNCE,1.17745,1.17495,1.17758,1.1837,1.1837,"8.10 Lots (809729 units)",2024.32,5060.8,2.5,WIN,"HARD TP HIT",YES,25304.02
37,2026-04-17 17:00,2026-04-19 21:00,LONG,SUPPORT BOUNCE,1.17694,1.17444,1.17444,1.18319,1.17444,"10.12 Lots (1012161 units)",2530.4,-2530.4,-1,LOSS,"INITIAL SL HIT",NO,22773.62
38,2026-04-21 17:00,2026-04-22 09:00,LONG,SUPPORT BOUNCE,1.17311,1.17061,1.17324,1.17936,1.17324,"9.11 Lots (910945 units)",2277.36,118.42,0.05,WIN,"TRAILING SL HIT",YES,22892.04
39,2026-04-22 13:00,2026-04-22 21:00,LONG,SUPPORT BOUNCE,1.17213,1.16963,1.16963,1.17838,1.16963,"9.16 Lots (915682 units)",2289.2,-2289.2,-1,LOSS,"INITIAL SL HIT",NO,20602.84
40,2026-04-23 09:00,2026-04-23 17:00,LONG,SUPPORT BOUNCE,1.16799,1.16549,1.16812,1.17424,1.16812,"8.24 Lots (824114 units)",2060.28,107.13,0.05,WIN,"TRAILING SL HIT",YES,20709.97
41,2026-04-24 09:00,2026-04-27 05:00,SHORT,RESISTANCE BOUNCE,1.17141,1.17391,1.17391,1.16516,1.17391,"8.28 Lots (828399 units)",2071,-2071,-1,LOSS,"INITIAL SL HIT",NO,18638.97
42,2026-04-29 17:00,2026-04-30 05:00,LONG,SUPPORT BOUNCE,1.16665,1.16415,1.16678,1.1729,1.16678,"7.46 Lots (745559 units)",1863.9,96.92,0.05,WIN,"TRAILING SL HIT",YES,18735.89
43,2026-04-30 09:00,2026-04-30 13:00,LONG,SUPPORT BOUNCE,1.16717,1.16467,1.16729,1.17342,1.17342,"7.49 Lots (749436 units)",1873.59,4683.97,2.5,WIN,"HARD TP HIT",YES,23419.86
44,2026-05-01 09:00,2026-05-01 13:00,SHORT,RESISTANCE BOUNCE,1.17525,1.17775,1.17775,1.169,1.17775,"9.37 Lots (936794 units)",2341.99,-2341.99,-1,LOSS,"INITIAL SL HIT",NO,21077.87
45,2026-05-04 09:00,2026-05-04 13:00,SHORT,RESISTANCE BOUNCE,1.17183,1.17433,1.1717,1.16558,1.1717,"8.43 Lots (843115 units)",2107.79,109.6,0.05,WIN,"TRAILING SL HIT",YES,21187.47
46,2026-05-04 17:00,2026-05-06 01:00,LONG,SUPPORT BOUNCE,1.168,1.1655,1.16813,1.17425,1.17425,"8.47 Lots (847499 units)",2118.75,5296.87,2.5,WIN,"HARD TP HIT",YES,26484.34
47,2026-05-06 09:00,2026-05-07 17:00,SHORT,RESISTANCE BOUNCE,1.17886,1.18136,1.17874,1.17261,1.17261,"10.59 Lots (1059374 units)",2648.43,6621.09,2.5,WIN,"HARD TP HIT",YES,33105.43
48,2026-05-08 09:00,2026-05-11 05:00,SHORT,RESISTANCE BOUNCE,1.17759,1.18009,1.17746,1.17134,1.17746,"13.24 Lots (1324217 units)",3310.54,172.15,0.05,WIN,"TRAILING SL HIT",YES,33277.58
49,2026-05-11 13:00,2026-05-13 05:00,SHORT,RESISTANCE BOUNCE,1.17827,1.18077,1.17814,1.17202,1.17202,"13.31 Lots (1331103 units)",3327.76,8319.39,2.5,WIN,"HARD TP HIT",YES,41596.97
50,2026-05-14 09:00,2026-05-14 13:00,LONG,SUPPORT BOUNCE,1.16979,1.16729,1.16729,1.17604,1.16729,"16.64 Lots (1663879 units)",4159.7,-4159.7,-1,LOSS,"INITIAL SL HIT",NO,37437.27
51,2026-05-14 21:00,2026-05-15 05:00,LONG,SUPPORT BOUNCE,1.16576,1.16326,1.16326,1.17201,1.16326,"14.97 Lots (1497491 units)",3743.73,-3743.73,-1,LOSS,"INITIAL SL HIT",NO,33693.54
52,2026-05-19 09:00,2026-05-20 05:00,LONG,SUPPORT BOUNCE,1.16107,1.15857,1.15857,1.16732,1.15857,"13.48 Lots (1347742 units)",3369.35,-3369.35,-1,LOSS,"INITIAL SL HIT",NO,30324.19
53,2026-05-20 13:00,2026-05-21 05:00,LONG,SUPPORT BOUNCE,1.15947,1.15697,1.15959,1.16572,1.15959,"12.13 Lots (1212968 units)",3032.42,145.56,0.05,WIN,"TRAILING SL HIT",YES,30469.75
54,2026-05-21 13:00,2026-05-24 21:00,LONG,SUPPORT BOUNCE,1.15853,1.15603,1.15865,1.16478,1.16478,"12.19 Lots (1218790 units)",3046.97,7617.44,2.5,WIN,"HARD TP HIT",YES,38087.19
55,2026-05-25 01:00,2026-05-27 01:00,SHORT,RESISTANCE BOUNCE,1.16427,1.16677,1.16414,1.15802,1.16414,"15.23 Lots (1523488 units)",3808.72,198.05,0.05,WIN,"TRAILING SL HIT",YES,38285.24
56,2026-05-27 05:00,2026-05-27 13:00,SHORT,RESISTANCE BOUNCE,1.16503,1.16753,1.16491,1.15878,1.16491,"15.31 Lots (1531410 units)",3828.52,183.77,0.05,WIN,"TRAILING SL HIT",YES,38469.01
57,2026-05-27 21:00,2026-05-28 01:00,LONG,SUPPORT BOUNCE,1.16189,1.15939,1.15939,1.16814,1.15939,"15.39 Lots (1538760 units)",3846.9,-3846.9,-1,LOSS,"INITIAL SL HIT",NO,34622.11
58,2026-05-28 05:00,2026-05-28 13:00,LONG,SUPPORT BOUNCE,1.15908,1.15658,1.15921,1.16533,1.16533,"13.85 Lots (1384884 units)",3462.21,8655.53,2.5,WIN,"HARD TP HIT",YES,43277.64
59,2026-05-28 17:00,2026-05-29 13:00,SHORT,RESISTANCE BOUNCE,1.16593,1.16843,1.1658,1.15968,1.1658,"17.31 Lots (1731106 units)",4327.76,225.04,0.05,WIN,"TRAILING SL HIT",YES,43502.68
60,2026-05-31 21:00,2026-06-03 13:00,SHORT,RESISTANCE BOUNCE,1.1659,1.1684,1.16578,1.15965,1.15965,"17.40 Lots (1740107 units)",4350.27,10875.67,2.5,WIN,"HARD TP HIT",YES,54378.35
61,2026-06-04 05:00,2026-06-04 17:00,LONG,SUPPORT BOUNCE,1.16093,1.15843,1.16105,1.16718,1.16105,"21.75 Lots (2175134 units)",5437.83,261.02,0.05,WIN,"TRAILING SL HIT",YES,54639.37
62,2026-06-05 09:00,2026-06-05 13:00,SHORT,RESISTANCE BOUNCE,1.16427,1.16677,1.16414,1.15802,1.15802,"21.86 Lots (2185575 units)",5463.94,13659.84,2.5,WIN,"HARD TP HIT",YES,68299.21
63,2026-06-09 05:00,2026-06-09 13:00,SHORT,RESISTANCE BOUNCE,1.15523,1.15773,1.15773,1.14898,1.15773,"27.32 Lots (2731968 units)",6829.92,-6829.92,-1,LOSS,"INITIAL SL HIT",NO,61469.29
64,2026-06-10 13:00,2026-06-11 13:00,SHORT,RESISTANCE BOUNCE,1.15756,1.16006,1.15743,1.15131,1.15131,"24.59 Lots (2458772 units)",6146.93,15367.32,2.5,WIN,"HARD TP HIT",YES,76836.61
65,2026-06-11 17:00,2026-06-11 21:00,LONG,SUPPORT BOUNCE,1.15022,1.14772,1.15034,1.15647,1.15647,"30.73 Lots (3073464 units)",7683.66,19209.15,2.5,WIN,"HARD TP HIT",YES,96045.76
66,2026-06-12 01:00,2026-06-14 21:00,SHORT,RESISTANCE BOUNCE,1.15706,1.15956,1.15956,1.15081,1.15956,"38.42 Lots (3841830 units)",9604.58,-9604.58,-1,LOSS,"INITIAL SL HIT",NO,86441.18
67,2026-06-15 01:00,2026-06-15 05:00,LONG,SUPPORT BOUNCE,1.15971,1.15721,1.15983,1.16596,1.15983,"34.58 Lots (3457647 units)",8644.12,414.92,0.05,WIN,"TRAILING SL HIT",YES,86856.1
68,2026-06-15 17:00,2026-06-16 13:00,LONG,SUPPORT BOUNCE,1.15889,1.15639,1.15901,1.16514,1.15901,"34.74 Lots (3474244 units)",8685.61,416.91,0.05,WIN,"TRAILING SL HIT",YES,87273.01
69,2026-06-17 01:00,2026-06-17 17:00,SHORT,RESISTANCE BOUNCE,1.16173,1.16423,1.1616,1.15548,1.15548,"34.91 Lots (3490920 units)",8727.3,21818.25,2.5,WIN,"HARD TP HIT",YES,109091.26
70,2026-06-18 05:00,2026-06-18 09:00,LONG,SUPPORT BOUNCE,1.15055,1.14805,1.14805,1.1568,1.14805,"43.64 Lots (4363650 units)",10909.13,-10909.13,-1,LOSS,"INITIAL SL HIT",NO,98182.13
71,2026-06-22 17:00,2026-06-23 09:00,LONG,SUPPORT BOUNCE,1.14205,1.13955,1.13955,1.1483,1.13955,"39.27 Lots (3927285 units)",9818.21,-9818.21,-1,LOSS,"INITIAL SL HIT",NO,88363.92
72,2026-06-26 05:00,2026-06-26 09:00,SHORT,RESISTANCE BOUNCE,1.13857,1.14107,1.14107,1.13232,1.14107,"35.35 Lots (3534557 units)",8836.39,-8836.39,-1,LOSS,"INITIAL SL HIT",NO,79527.53
73,2026-06-29 13:00,2026-06-30 13:00,SHORT,RESISTANCE BOUNCE,1.14315,1.14565,1.14302,1.1369,1.14302,"31.81 Lots (3181101 units)",7952.75,413.54,0.05,WIN,"TRAILING SL HIT",YES,79941.07
74,2026-06-30 17:00,2026-07-01 13:00,SHORT,RESISTANCE BOUNCE,1.14281,1.14531,1.14268,1.13656,1.13656,"31.98 Lots (3197643 units)",7994.11,19985.27,2.5,WIN,"HARD TP HIT",YES,99926.34
75,2026-07-01 17:00,2026-07-02 05:00,LONG,SUPPORT BOUNCE,1.13834,1.13584,1.13847,1.14459,1.13847,"39.97 Lots (3997054 units)",9992.63,519.62,0.05,WIN,"TRAILING SL HIT",YES,100445.96
76,2026-07-02 09:00,2026-07-03 05:00,SHORT,RESISTANCE BOUNCE,1.14366,1.14616,1.14616,1.13741,1.14616,"40.18 Lots (4017838 units)",10044.6,-10044.6,-1,LOSS,"INITIAL SL HIT",NO,90401.36
77,2026-07-06 05:00,2026-07-06 17:00,SHORT,RESISTANCE BOUNCE,1.14342,1.14592,1.14329,1.13717,1.14329,"36.16 Lots (3616054 units)",9040.14,470.09,0.05,WIN,"TRAILING SL HIT",YES,90871.45
78,2026-07-07 17:00,2026-07-10 13:00,LONG,SUPPORT BOUNCE,1.1411,1.1386,1.14122,1.14735,1.14122,"36.35 Lots (3634858 units)",9087.14,436.18,0.05,WIN,"TRAILING SL HIT",YES,91307.63
79,2026-07-10 17:00,2026-07-13 05:00,SHORT,RESISTANCE BOUNCE,1.14291,1.14541,1.14278,1.13666,1.14278,"36.52 Lots (3652305 units)",9130.76,474.8,0.05,WIN,"TRAILING SL HIT",YES,91782.43
80,2026-07-13 13:00,2026-07-14 09:00,LONG,SUPPORT BOUNCE,1.13852,1.13602,1.13864,1.14477,1.14477,"36.71 Lots (3671297 units)",9178.24,22945.61,2.5,WIN,"HARD TP HIT",YES,114728.04
81,2026-07-14 13:00,2026-07-15 17:00,SHORT,RESISTANCE BOUNCE,1.14597,1.14847,1.14585,1.13972,1.14585,"45.89 Lots (4589122 units)",11472.8,550.69,0.05,WIN,"TRAILING SL HIT",YES,115278.73
82,2026-07-15 21:00,2026-07-20 13:00,SHORT,RESISTANCE BOUNCE,1.14705,1.14955,1.14692,1.1408,1.1408,"46.11 Lots (4611149 units)",11527.87,28819.68,2.5,WIN,"HARD TP HIT",YES,144098.41
83,2026-07-20 17:00,2026-07-23 01:00,SHORT,RESISTANCE BOUNCE,1.14094,1.14344,1.14344,1.13469,1.14344,"57.64 Lots (5763936 units)",14409.84,-14409.84,-1,LOSS,"INITIAL SL HIT",NO,129688.57
84,2026-07-23 05:00,2026-07-23 09:00,LONG,SUPPORT BOUNCE,1.14085,1.13835,1.13835,1.1471,1.13835,"51.88 Lots (5187543 units)",12968.86,-12968.86,-1,LOSS,"INITIAL SL HIT",NO,116719.71
85,2026-07-23 13:00,2026-07-24 13:00,LONG,SUPPORT BOUNCE,1.13643,1.13393,1.13655,1.14268,1.13655,"46.69 Lots (4668788 units)",11671.97,560.25,0.05,WIN,"TRAILING SL HIT",YES,117279.96
86,2026-07-24 17:00,2026-07-27 09:00,LONG,SUPPORT BOUNCE,1.138,1.1355,1.13813,1.14425,1.13813,"46.91 Lots (4691198 units)",11728,609.86,0.05,WIN,"TRAILING SL HIT",YES,117889.82
87,2026-07-27 13:00,2026-07-28 13:00,LONG,SUPPORT BOUNCE,1.13663,1.13413,1.13675,1.14288,1.13675,"47.16 Lots (4715593 units)",11788.98,565.87,0.05,WIN,"TRAILING SL HIT",YES,118455.69
88,2026-07-28 17:00,2026-07-29 17:00,LONG,SUPPORT BOUNCE,1.13937,1.13687,1.13949,1.14562,1.13949,"47.38 Lots (4738228 units)",11845.57,568.59,0.05,WIN,"TRAILING SL HIT",YES,119024.28
89,2026-07-29 21:00,2026-07-30 09:00,SHORT,RESISTANCE BOUNCE,1.14583,1.14833,1.14833,1.13958,1.14833,"47.61 Lots (4760971 units)",11902.43,-11902.43,-1,LOSS,"INITIAL SL HIT",NO,107121.85
90,2026-07-30 13:00,2026-07-30 17:00,SHORT,RESISTANCE BOUNCE,1.14799,1.15049,1.15049,1.14174,1.15049,"42.85 Lots (4284874 units)",10712.18,-10712.18,-1,LOSS,"INITIAL SL HIT",NO,96409.67
91,2026-07-31 17:00,2026-08-03 13:00,SHORT,RESISTANCE BOUNCE,1.15345,1.15595,1.15332,1.1472,1.15332,"38.56 Lots (3856387 units)",9640.97,501.33,0.05,WIN,"TRAILING SL HIT",YES,96911
92,2026-08-04 01:00,2026-08-07 09:00,LONG,SUPPORT BOUNCE,1.15029,1.14779,1.15041,1.15654,1.15654,"38.76 Lots (3876440 units)",9691.1,24227.75,2.5,WIN,"HARD TP HIT",YES,121138.75
93,2026-08-07 17:00,2026-08-12 09:00,SHORT,RESISTANCE BOUNCE,1.15565,1.15815,1.15552,1.1494,1.15552,"48.46 Lots (4845550 units)",12113.88,629.92,0.05,WIN,"TRAILING SL HIT",YES,121768.67
94,2026-08-12 13:00,2026-08-14 05:00,SHORT,RESISTANCE BOUNCE,1.15572,1.15822,1.15559,1.14947,1.15559,"48.71 Lots (4870747 units)",12176.87,633.2,0.05,WIN,"TRAILING SL HIT",YES,122401.87
95,2026-08-14 09:00,2026-08-17 05:00,SHORT,RESISTANCE BOUNCE,1.15783,1.16033,1.16033,1.15158,1.16033,"48.96 Lots (4896075 units)",12240.19,-12240.19,-1,LOSS,"INITIAL SL HIT",NO,110161.68
96,2026-08-19 01:00,2026-08-19 09:00,LONG,SUPPORT BOUNCE,1.15691,1.15441,1.15704,1.16316,1.16316,"44.06 Lots (4406467 units)",11016.17,27540.42,2.5,WIN,"HARD TP HIT",YES,137702.1
